file_name,Pre-Loaded Model,Model,Pretrain/Finetune,Date,Time,lr,Batch Size,Weight Decay,Epochs,Dropout Prob,Sentiment Accuracy,Paraphrase accuracy,STS Corr,,Total Time,Time (mins),Time/Epoch,AVG
2024-02-28_08:55PM-pretrain-2-0.0001-multitask.pt,pretrain-10-1e-05-multitask.pt,1,pretrain,2024-02-28,21:20:17,0.0001,8,0.001,2,0.3,0.433242506811989,0.509400356224025,0.322446385956931,0.661223192978466,0:25:05,25.08,12.54,0.534622018671493
2024-02-28_09:23PM-pretrain-1-0.0001-multitask.pt,2024-02-28_08:55PM-pretrain-2-0.0001-multitask.pt,1,pretrain,2024-02-28,21:37:06,0.0001,8,0,1,0.3,0.442325158946412,0.509400356224025,0.322446385956931,0.661223192978466,0:13:38,13.63,13.63,0.537649569382968
2024-02-29_07:27AM-pretrain-5-3e-05-multitask.pt,2024-02-28_09:23PM-pretrain-1-0.0001-multitask.pt,1,pretrain,2024-02-29,08:26:11,0.00003,8,0.0075,5,0.3,0.45685740236149,0.522461903819513,0.341762983594837,0.670881491797419,0:58:45,58.75,11.75,0.550066932659474
2024-02-29_08:31AM-pretrain-3-5e-06-multitask.pt,2024-02-29_07:27AM-pretrain-5-3e-05-multitask.pt,1,pretrain,2024-02-29,09:07:16,0.000005,8,0.05,3,0.3,0.454132606721163,0.522461903819513,0.341762983594837,0.670881491797419,0:36:15,36.25,12.08,0.549158667446031
2024-02-29_09:12AM-pretrain-3-1e-05-multitask.pt,2024-02-29_07:27AM-pretrain-5-3e-05-multitask.pt,1,pretrain,2024-02-29,09:48:59,0.00001,10,0.005,3,0.3,0.452316076294278,0.522461903819513,0.341762962896014,0.670881481448007,0:36:14,36.23,12.08,0.548553153853933
2024-02-29_09:52AM-pretrain-2-7e-06-multitask.pt,2024-02-29_07:27AM-pretrain-5-3e-05-multitask.pt,1,pretrain,2024-02-29,10:16:50,0.000007,12,0.01,2,0.3,0.455040871934605,0.522461903819513,0.341762990544176,0.670881495272088,0:24:42,24.70,12.35,0.549461423675402
2024-02-29_01:35PM-finetune-4-1e-05-multitask.pt,2024-02-29_07:27AM-pretrain-5-3e-05-multitask.pt,1,finetune,2024-02-29,15:43:25,0.00001,8,0,4,0.3,0.520435967302452,0.503661191371462,0.349998298196911,0.674999149098456,2:08:05,128.08,32.02,0.566365435924123
2024-02-29_08:15PM-finetune-10-1e-05-multitask.pt,2024-02-29_01:35PM-finetune-4-1e-05-multitask.pt,1,finetune,2024-03-01,01:30:20,0.00001,8,0,10,0.3,0.502270663033606,0.492232337225411,0.358510378489897,0.679255189244949,5:14:21,314.35,31.44,0.557919396501322
2024-03-01_03:26AM-finetune-6-5e-06-multitask.pt,2024-02-29_01:35PM-finetune-4-1e-05-multitask.pt,1,finetune,2024-03-01,06:43:21,0.000005,8,0.01,6,0.3,0.504995458673933,0.582624183653275,0.374046183474826,0.687023091737413,3:16:52,196.87,32.81,0.59154757802154
2024-03-01_09:07AM-finetune-12-5e-06-multitask.pt,2024-03-01_03:26AM-finetune-6-5e-06-multitask.pt,1,finetune,2024-03-01,14:22:05,0.000005,16,0.00075,12,0.3,0.514078110808356,0.604096576291312,0.41367420384059,0.706837101920295,5:14:38,314.63,26.22,0.608337263006654
